Date,open,high,low,close,adj close,volume
2000-07-31,38.71875,39.25,38.71875,39.25,24.22559928894043,2600
2000-08-01,38.96875,38.96875,38.9375,38.9375,24.0327205657959,400
2000-08-02,38.40625,38.4375,38.40625,38.4375,23.7241153717041,4600
2000-08-03,37.1875,37.1875,37.1875,37.1875,22.95259666442871,800
2000-08-04,38.125,38.125,37.78125,37.84375,23.357641220092773,80600
2000-08-07,38.1875,38.1875,38.125,38.125,23.531230926513672,43800
2000-08-08,38.0,38.09375,38.0,38.09375,23.51194190979004,800
2000-08-09,38.21875,38.21875,38.125,38.125,23.531230926513672,20200
2000-08-10,38.78125,38.78125,38.71875,38.71875,23.8976993560791,2600
2000-08-11,38.84375,38.84375,38.59375,38.59375,23.820545196533203,30200
2000-08-14,38.59375,38.59375,38.59375,38.59375,23.820545196533203,0
2000-08-15,39.375,39.375,39.3125,39.34375,24.28346443176269,76000
2000-08-16,39.375,39.59375,39.375,39.4375,24.341323852539062,1000
2000-08-17,39.3125,39.46875,39.25,39.28125,24.2448787689209,48000
2000-08-18,38.84375,38.90625,38.75,38.75,23.91699409484864,2400
2000-08-21,38.625,38.625,38.375,38.375,23.68553733825684,20800
2000-08-22,38.1875,38.1875,38.1875,38.1875,23.569805145263672,16400
2000-08-23,37.875,37.875,37.875,37.875,23.37693214416504,2000
2000-08-24,38.4375,38.4375,38.15625,38.15625,23.550525665283203,45600
2000-08-25,38.5625,38.75,38.5625,38.75,23.91699409484864,40400
2000-08-28,38.625,38.625,38.5625,38.59375,23.820545196533203,6600
2000-08-29,38.1875,38.5625,38.1875,38.375,23.68553733825684,53800
2000-08-30,38.375,38.375,38.1875,38.25,23.60839080810547,11400
2000-08-31,37.9375,38.125,37.9375,38.125,23.531230926513672,600
2000-09-01,38.125,38.125,38.125,38.125,23.531230926513672,0
2000-09-05,39.03125,39.03125,39.03125,39.03125,24.090576171875,200
2000-09-06,38.5,38.5,38.0625,38.0625,23.492656707763672,1200
2000-09-07,38.40625,38.40625,38.375,38.375,23.68553733825684,9200
2000-09-08,37.75,37.75,37.6875,37.6875,23.26120376586914,600
2000-09-11,37.25,37.25,37.0625,37.0625,22.87544631958008,800
2000-09-12,37.59375,37.65625,37.59375,37.65625,23.24191665649414,9200
2000-09-13,36.65625,36.96875,36.65625,36.9375,22.798290252685547,1600
2000-09-14,37.3125,37.3125,37.0,37.0,22.836864471435547,23400
2000-09-15,37.0,37.0,37.0,37.0,22.836864471435547,0
2000-09-18,36.3125,36.375,35.90625,35.90625,22.16179275512696,5400
2000-09-19,35.875,35.96875,35.84375,35.875,22.14250373840332,5400
2000-09-20,35.875,35.875,35.25,35.3125,21.79532241821289,4200
2000-09-21,34.84375,35.09375,34.8125,35.0,21.602439880371094,6200
2000-09-22,35.5625,36.0625,35.53125,35.9375,22.18107795715332,18000
2000-09-25,36.3125,36.34375,35.9375,36.125,22.29680824279785,15000
2000-09-26,36.125,36.25,36.0625,36.09375,22.27751350402832,14000
2000-09-27,36.53125,36.5625,36.0625,36.25,22.37396240234375,33800
2000-09-28,36.21875,36.375,36.125,36.3125,22.412532806396484,55600
2000-09-29,36.0,36.0625,35.96875,36.0625,22.25823211669922,14200
2000-10-02,36.3125,36.4375,36.21875,36.40625,22.470399856567383,16200
2000-10-03,36.78125,36.78125,36.5625,36.75,22.68256187438965,21800
2000-10-04,36.1875,36.1875,35.875,36.1875,22.33538627624512,3800
2000-10-05,36.15625,36.15625,35.9375,36.09375,22.27751350402832,6400
2000-10-06,35.625,35.625,35.3125,35.3125,21.79532241821289,1400
2000-10-09,35.125,35.125,35.0,35.0,21.602439880371094,1600
2000-10-10,35.0,35.0,34.90625,34.90625,21.544580459594727,1400
2000-10-11,34.25,34.375,34.1875,34.375,21.216686248779297,22600
2000-10-12,34.28125,34.28125,33.75,33.875,20.908077239990234,39200
2000-10-13,33.46875,34.125,33.46875,34.125,21.0623836517334,4000
2000-10-16,33.71875,33.90625,33.71875,33.90625,20.9273681640625,40200
2000-10-17,33.8125,33.8125,33.8125,33.8125,20.869503021240234,1400
2000-10-18,32.625,32.9375,32.40625,32.71875,20.19442367553711,18000
2000-10-19,33.6875,33.84375,33.5625,33.84375,20.88878631591797,3200
2000-10-20,33.6875,34.0,33.6875,34.0,20.985227584838867,3000
2000-10-23,33.75,33.75,33.75,33.75,20.830921173095703,2000
