Date,open,high,low,close,adj close,volume
2010-11-08,28.0,29.0,27.0,29.0,28.323410034179688,580
2010-11-09,28.0,29.0,27.0,29.0,28.323410034179688,513
2010-11-10,28.0,31.0,28.0,31.0,30.27674865722656,4102
2010-11-12,31.0,36.0,31.0,35.0,34.18342208862305,6047
2010-11-15,33.0,34.0,32.0,33.0,32.23008728027344,3634
2010-11-16,32.0,35.0,31.0,34.0,33.206748962402344,3154
2010-11-17,35.0,38.0,33.0,36.0,35.160091400146484,4795
2010-11-18,36.0,37.0,35.0,36.0,35.160091400146484,1433
2010-11-19,35.0,35.0,33.0,34.0,33.206748962402344,1779
2010-11-22,33.0,34.0,31.0,34.0,33.206748962402344,619
2010-11-23,32.0,33.0,32.0,33.0,32.23008728027344,486
2010-11-24,33.0,34.0,31.0,33.0,32.23008728027344,603
2010-11-26,34.0,34.0,32.0,34.0,33.206748962402344,468
2010-11-29,35.0,35.0,33.0,33.0,32.23008728027344,707
2010-11-30,33.0,33.0,31.0,32.0,31.253416061401367,497
2010-12-01,32.0,33.0,32.0,32.0,31.253416061401367,174
2010-12-02,33.0,34.0,32.0,33.0,32.23008728027344,1133
2010-12-03,34.0,34.0,33.0,33.0,32.23008728027344,315
2010-12-06,33.0,34.0,31.0,34.0,33.206748962402344,722
2010-12-07,33.0,33.0,32.0,33.0,32.23008728027344,457
2010-12-08,33.0,33.0,33.0,33.0,32.23008728027344,0
2010-12-09,32.0,33.0,32.0,33.0,32.23008728027344,407
2010-12-10,33.0,33.0,33.0,33.0,32.23008728027344,0
2010-12-13,32.0,32.0,32.0,32.0,31.253416061401367,5
2010-12-14,31.0,31.0,30.0,31.0,30.27674865722656,778
2010-12-15,31.0,32.0,31.0,32.0,31.253416061401367,442
2010-12-16,33.0,33.0,33.0,33.0,32.23008728027344,20
2010-12-17,33.0,33.0,31.0,31.0,30.27674865722656,107
2010-12-20,31.0,33.0,30.0,30.0,29.30007553100586,874
2010-12-21,30.0,31.0,30.0,31.0,30.27674865722656,1260
2010-12-22,31.0,31.0,29.0,31.0,30.27674865722656,435
2010-12-23,31.0,31.0,28.0,30.0,29.30007553100586,598
2010-12-27,29.0,30.0,28.0,30.0,29.30007553100586,422
2010-12-28,29.0,30.0,28.0,28.0,27.346736907958984,417
2010-12-29,28.0,30.0,28.0,30.0,29.30007553100586,45
2010-12-30,30.0,31.0,30.0,31.0,30.27674865722656,510
2010-12-31,31.0,31.0,30.0,30.0,29.30007553100586,284
2011-01-03,31.0,32.0,31.0,32.0,31.253416061401367,150
2011-01-04,29.0,33.0,29.0,32.0,31.253416061401367,599
2011-01-05,32.0,32.0,30.0,32.0,31.253416061401367,323
2011-01-07,32.0,32.0,32.0,32.0,31.253416061401367,100
2011-01-10,32.0,32.0,31.0,31.0,30.27674865722656,617
2011-01-11,31.0,31.0,31.0,31.0,30.27674865722656,40
2011-01-12,30.0,30.0,30.0,30.0,29.30007553100586,90
2011-01-13,31.0,31.0,30.0,31.0,30.27674865722656,233
2011-01-14,30.0,31.0,30.0,31.0,30.27674865722656,22
2011-01-18,25.0,26.0,24.0,26.0,25.39339828491211,406
2011-01-19,25.0,25.0,24.0,24.0,23.440061569213867,372
2011-01-20,24.0,24.0,23.0,23.0,22.463388442993164,3687
2011-01-21,23.0,24.0,23.0,23.0,22.463388442993164,806
2011-01-24,23.0,24.0,23.0,24.0,23.440061569213867,37
2011-01-25,24.0,24.0,24.0,24.0,23.440061569213867,100
2011-01-26,23.0,24.0,23.0,24.0,23.440061569213867,108
2011-01-27,24.0,24.0,22.0,22.0,21.486724853515625,401
2011-01-28,23.0,24.0,23.0,24.0,23.440061569213867,278
2011-01-31,23.0,23.0,22.0,23.0,22.463388442993164,592
2011-02-01,22.0,23.0,20.0,20.0,19.53338623046875,2364
2011-02-02,20.0,21.0,19.0,21.0,20.51005172729492,813
2011-02-03,21.0,21.0,20.0,21.0,20.51005172729492,745
2011-02-04,21.0,22.0,21.0,21.0,20.51005172729492,1994
2011-02-07,22.0,22.0,21.0,21.0,20.51005172729492,774
2011-02-08,22.0,23.0,18.0,20.0,19.53338623046875,8983
2011-02-09,20.0,21.0,20.0,21.0,20.51005172729492,517
2011-02-10,21.0,21.0,21.0,21.0,20.51005172729492,0
2011-02-11,21.0,21.0,21.0,21.0,20.51005172729492,12
2011-02-14,21.0,21.0,19.0,20.0,19.53338623046875,1444
2011-02-15,20.0,20.0,19.0,20.0,19.53338623046875,359
2011-02-16,20.0,20.0,18.0,20.0,19.53338623046875,865
2011-02-17,20.0,20.0,19.0,20.0,19.53338623046875,20
2011-02-18,20.0,20.0,19.0,20.0,19.53338623046875,2122
2011-02-22,21.0,21.0,21.0,21.0,20.51005172729492,988
2011-02-23,20.0,21.0,20.0,21.0,20.51005172729492,366
2011-02-24,20.0,20.0,19.0,20.0,19.53338623046875,1801
2011-02-25,19.0,21.0,19.0,20.0,19.53338623046875,1438
2011-02-28,20.0,21.0,20.0,21.0,20.51005172729492,445
2011-03-01,20.0,21.0,20.0,21.0,20.51005172729492,405
2011-03-02,20.0,20.0,19.0,19.0,18.55671501159668,2958
2011-03-03,20.0,20.0,19.0,20.0,19.53338623046875,438
2011-03-04,20.0,20.0,18.0,19.0,18.55671501159668,252
2011-03-07,20.0,20.0,18.0,19.0,18.55671501159668,743
2011-03-08,18.0,20.0,18.0,19.0,18.55671501159668,3560
2011-03-09,19.0,19.0,16.0,17.0,16.603374481201172,6348
2011-03-10,18.0,18.0,17.0,18.0,17.580045700073242,528
2011-03-11,17.0,18.0,17.0,18.0,17.580045700073242,183
2011-03-14,17.0,19.0,17.0,19.0,18.55671501159668,1097
2011-03-15,17.0,18.0,17.0,18.0,17.580045700073242,123
2011-03-16,18.0,18.0,17.0,17.0,16.603374481201172,767
2011-03-17,17.0,18.0,17.0,18.0,17.580045700073242,525
2011-03-18,18.0,18.0,18.0,18.0,17.580045700073242,1175
2011-03-21,17.0,18.0,17.0,18.0,17.580045700073242,1347
