Date,open,high,low,close,adj close,volume
2019-03-11,29.39999961853028,29.73500061035156,29.39999961853028,29.73500061035156,28.82808494567871,3400
2019-03-12,29.81599998474121,29.81599998474121,29.7509994506836,29.7509994506836,28.843595504760746,700
2019-03-13,29.8700008392334,29.924999237060547,29.84499931335449,29.8759994506836,28.964784622192383,10700
2019-03-14,29.75,29.780000686645508,29.71500015258789,29.770000457763672,28.862016677856445,3800
2019-03-15,29.989999771118164,30.040000915527344,29.71999931335449,29.746000289916992,28.83874893188477,18000
2019-03-18,29.88599967956543,29.92099952697754,29.88599967956543,29.920000076293945,29.0074405670166,700
2019-03-19,29.951000213623047,29.951000213623047,29.89699935913086,29.89699935913086,28.98514175415039,500
2019-03-20,29.683000564575195,29.79599952697754,29.643999099731445,29.79599952697754,28.887222290039062,300
2019-03-21,29.90399932861328,29.90399932861328,29.90399932861328,29.90399932861328,28.991928100585938,100
2019-03-22,29.559999465942383,29.56999969482422,29.27899932861328,29.27899932861328,28.385990142822266,9700
2019-03-25,29.270000457763672,29.290000915527344,29.21500015258789,29.28199958801269,28.388900756835938,3500
2019-03-26,29.440000534057617,29.45599937438965,29.36000061035156,29.45499992370605,28.556625366210938,7900
2019-03-27,29.420000076293945,29.420000076293945,29.39800071716309,29.39800071716309,28.50136375427246,2000
2019-03-28,29.39999961853028,29.461000442504883,29.39999961853028,29.461000442504883,28.562442779541016,500
2019-03-29,29.496999740600582,29.51099967956543,29.459999084472656,29.49099922180176,28.59152603149414,1200
2019-04-01,29.739999771118164,29.802000045776367,29.739999771118164,29.802000045776367,28.89303970336914,1300
2019-04-02,29.700000762939453,29.700000762939453,29.57999992370605,29.683000564575195,28.77766990661621,2200
2019-04-03,29.89999961853028,29.9379997253418,29.808000564575195,29.808000564575195,28.89885902404785,1900
2019-04-04,29.81999969482422,29.89900016784668,29.709999084472656,29.85400009155273,28.94345474243164,2000
2019-04-05,29.86000061035156,29.9950008392334,29.86000061035156,29.9950008392334,29.080156326293945,1200
2019-04-08,30.01000022888184,30.01000022888184,29.89999961853028,29.988000869750977,29.07336807250977,16800
2019-04-09,29.82999992370605,29.878999710083008,29.82999992370605,29.83699989318848,28.926973342895508,1200
2019-04-10,30.020000457763672,30.062000274658203,30.016000747680664,30.04199981689453,29.125720977783203,9900
2019-04-11,30.0,30.0,29.85099983215332,29.88999938964844,28.97835731506348,1300
2019-04-12,30.13999938964844,30.13999938964844,30.01000022888184,30.065000534057617,29.14801979064941,3000
2019-04-15,30.114999771118164,30.114999771118164,30.084999084472656,30.084999084472656,29.16740798950196,300
2019-04-16,30.093000411987305,30.12700080871582,30.075000762939453,30.075000762939453,29.15771484375,600
2019-04-17,30.049999237060547,30.049999237060547,29.940000534057617,30.018999099731445,29.103422164916992,3100
2019-04-18,29.934999465942383,30.040000915527344,29.934999465942383,29.968000411987305,29.0539779663086,3700
2019-04-22,29.770000457763672,29.85700035095215,29.770000457763672,29.85700035095215,28.94636344909668,2800
2019-04-23,29.700000762939453,29.9950008392334,29.700000762939453,29.9950008392334,29.080156326293945,2700
2019-04-24,29.89299964904785,29.89299964904785,29.825000762939453,29.878999710083008,28.96769142150879,1700
2019-04-25,29.75,29.916000366210938,29.75,29.86100006103516,28.950241088867188,1500
