Date,open,high,low,close,adj close,volume
2000-03-27,22.0,23.5,22.0,23.375,19.732276916503903,50600
2000-03-28,23.375,24.0625,23.375,23.75,20.04883575439453,526300
2000-03-29,24.0,24.0,23.75,23.75,20.04883575439453,35400
2000-03-30,23.75,24.0,23.0,23.25,19.62674903869629,486100
2000-03-31,23.25,23.25,23.0,23.1875,19.573993682861328,163300
2000-04-03,23.0,23.0625,20.5,21.25,17.938426971435547,3068700
2000-04-04,20.5,21.6875,19.75,21.3125,17.991193771362305,1992300
2000-04-05,21.3125,23.5,21.3125,22.0625,18.62430953979492,2353500
2000-04-06,22.0625,23.375,22.0625,23.125,19.521228790283203,1595000
2000-04-07,23.0625,23.375,22.5,22.5,18.993635177612305,1734900
2000-04-10,22.5625,22.75,22.0,22.25,18.78259658813477,1210800
2000-04-11,22.4375,22.5,22.125,22.125,18.67707061767578,1110400
2000-04-12,22.1875,24.125,22.125,23.1875,19.573993682861328,809700
2000-04-13,23.25,23.25,22.625,23.0625,19.46847152709961,961300
2000-04-14,22.6875,22.6875,21.625,22.3125,18.835350036621094,846000
2000-04-17,22.0625,22.5,20.625,20.625,17.410829544067383,1845800
2000-04-18,20.625,21.0,19.875,20.5,17.30531120300293,861600
2000-04-19,20.375,20.375,19.625,20.0,16.883228302001953,548000
2000-04-20,19.875,20.3125,19.875,20.25,17.09427261352539,532900
2000-04-24,19.875,21.5,19.875,21.375,18.0439567565918,520200
2000-04-25,21.25,22.1875,21.25,21.8125,18.41327476501465,727800
2000-04-26,21.5625,21.5625,17.0,17.875,15.089380264282228,3297800
2000-04-27,17.625,17.625,16.5625,17.25,14.561782836914062,1169300
2000-04-28,17.5,18.0,17.0,17.0625,14.4035005569458,955000
2000-05-01,17.1875,17.3125,17.0,17.0,14.350748062133787,625100
2000-05-02,17.0625,17.0625,16.75,16.8125,14.19246768951416,594700
2000-05-03,16.5625,17.0625,16.4375,16.8125,14.19246768951416,863200
2000-05-04,17.0,17.8125,15.625,17.8125,15.036626815795898,917900
2000-05-05,17.75,17.75,16.875,16.875,14.245224952697754,426200
2000-05-08,16.9375,17.0,16.625,17.0,14.350748062133787,457900
