Date,open,high,low,close,adj close,volume
1994-07-14,14.125,14.375,14.0,14.375,9.750726699829102,738900
1994-07-15,14.125,14.125,14.0,14.0,9.496357917785645,106400
1994-07-18,14.0,14.125,14.0,14.125,9.581146240234377,264000
1994-07-19,14.125,14.125,14.0,14.125,9.581146240234377,87100
1994-07-20,14.125,14.125,14.0,14.0,9.496357917785645,73600
1994-07-21,14.125,15.125,14.125,14.375,9.750726699829102,255600
1994-07-22,14.625,15.25,14.625,15.0,10.174671173095703,109100
1994-07-25,15.0,15.25,14.875,15.25,10.344243049621582,149000
1994-07-26,15.375,15.375,14.875,15.0,10.174671173095703,68100
1994-07-27,15.125,15.25,15.0,15.125,10.259459495544434,38100
1994-07-28,15.25,15.625,15.125,15.625,10.598613739013672,60300
1994-07-29,15.75,16.25,15.375,16.0,10.852982521057127,60300
1994-08-01,16.25,16.875,16.0,16.25,11.022563934326172,83500
1994-08-02,16.5,16.875,16.375,16.75,11.361714363098145,108300
1994-08-03,17.0,17.0,16.75,16.875,11.44650173187256,213300
1994-08-04,17.0,17.0,16.125,16.375,11.10735034942627,62000
1994-08-05,16.5,16.5,16.25,16.5,11.192139625549316,9600
1994-08-08,16.5,16.5,15.875,16.25,11.022563934326172,13200
1994-08-09,16.375,16.375,15.75,15.75,10.683403968811035,9100
1994-08-10,15.875,16.75,15.875,16.75,11.361714363098145,25700
1994-08-11,17.0,17.25,16.875,17.25,11.700871467590332,51700
1994-08-12,17.375,17.875,17.125,17.875,12.124817848205566,23300
1994-08-15,18.0,18.0,17.375,17.5,11.870450019836426,24600
1994-08-16,17.875,18.5,17.75,18.0,12.209606170654297,35500
1994-08-17,18.0,18.0,17.25,17.5,11.870450019836426,25900
1994-08-18,17.625,18.0,17.5,17.75,12.04002857208252,12400
1994-08-19,17.625,17.625,17.125,17.5,11.870450019836426,8600
1994-08-22,17.5,17.5,16.75,17.0,11.531291007995604,27000
1994-08-23,17.125,17.25,16.75,16.75,11.361714363098145,7700
1994-08-24,16.875,16.875,16.75,16.875,11.44650173187256,19700
1994-08-25,16.875,17.75,16.875,17.5,11.870450019836426,19500
1994-08-26,17.5,17.5,16.75,17.0,11.531291007995604,12500
1994-08-29,16.75,16.875,16.125,16.875,11.44650173187256,9600
1994-08-30,17.0,17.25,16.75,17.0,11.531291007995604,16200
1994-08-31,17.125,17.375,17.125,17.375,11.785658836364746,64800
1994-09-01,17.375,17.375,16.875,17.0,11.531291007995604,54800
1994-09-02,17.0,17.0,16.5,16.5,11.192139625549316,80300
1994-09-06,16.25,16.875,16.25,16.875,11.44650173187256,12900
1994-09-07,17.0,17.375,16.875,17.375,11.785658836364746,11100
1994-09-08,17.25,17.875,17.25,17.875,12.124817848205566,32400
1994-09-09,17.75,17.875,17.625,17.875,12.124817848205566,13100
1994-09-12,17.75,18.125,17.5,18.0,12.209606170654297,43400
1994-09-13,18.0,18.5,18.0,18.375,12.463969230651855,26500
1994-09-14,18.375,18.375,17.875,18.375,12.463969230651855,44600
1994-09-15,18.5,19.0,18.25,18.625,12.633552551269531,16600
1994-09-16,18.5,18.75,18.5,18.625,12.633552551269531,9800
1994-09-19,18.375,18.5,18.125,18.375,12.463969230651855,15900
1994-09-20,18.125,18.375,18.125,18.25,12.379179000854492,5300
1994-09-21,18.25,18.25,18.0,18.25,12.379179000854492,18900
1994-09-22,18.375,18.375,18.125,18.125,12.294392585754396,9900
1994-09-23,18.25,18.375,18.125,18.125,12.294392585754396,5200
1994-09-26,18.0,18.25,18.0,18.0,12.209606170654297,22300
1994-09-27,18.25,18.75,18.125,18.625,12.633552551269531,34900
1994-09-28,18.5,18.875,18.5,18.875,12.803126335144045,12200
1994-09-29,18.75,18.75,18.375,18.5,12.548758506774902,5100
1994-09-30,18.75,18.75,18.375,18.625,12.633552551269531,5300
1994-10-03,18.625,18.75,18.0,18.25,12.379179000854492,46700
1994-10-04,18.25,18.375,18.0,18.125,12.294392585754396,3500
1994-10-05,17.875,18.25,17.875,18.0,12.209606170654297,27300
1994-10-06,17.875,18.25,17.875,18.125,12.294392585754396,4300
1994-10-07,18.25,18.375,18.25,18.25,12.379179000854492,13200
1994-10-10,18.25,18.25,18.125,18.125,12.294392585754396,21900
1994-10-11,18.125,18.5,18.125,18.375,12.463969230651855,33300
1994-10-12,18.5,18.5,18.25,18.5,12.548758506774902,21800
1994-10-13,18.5,18.5,18.25,18.25,12.379179000854492,18800
1994-10-14,18.25,18.5,18.25,18.375,12.463969230651855,8900
1994-10-17,18.25,18.375,18.0,18.375,12.463969230651855,8100
1994-10-18,18.375,18.5,18.125,18.5,12.548758506774902,3400
1994-10-19,18.5,18.5,18.25,18.5,12.548758506774902,6000
