Date,open,high,low,close,adj close,volume
1991-08-07,7.0,7.375,6.84375,7.09375,6.04023027420044,18370000
1991-08-08,7.09375,7.1875,6.96875,7.15625,6.093447685241699,2752800
1991-08-09,7.15625,7.25,7.15625,7.15625,6.093447685241699,2048800
1991-08-12,7.15625,7.3125,7.03125,7.3125,6.226492404937744,1464400
1991-08-13,7.25,7.375,7.1875,7.28125,6.199887275695801,1738800
1991-08-14,7.3125,7.34375,7.0625,7.25,6.173273086547852,1366000
1991-08-15,7.3125,7.4375,7.3125,7.375,6.279712677001953,1508800
1991-08-16,7.34375,7.34375,7.15625,7.1875,6.120058536529541,410000
1991-08-19,6.875,6.96875,6.78125,6.90625,5.8805766105651855,967600
1991-08-20,6.9375,6.96875,6.78125,6.78125,5.774142265319824,562400
1991-08-21,6.96875,7.25,6.9375,7.25,6.173273086547852,1086000
1991-08-22,7.25,7.25,7.15625,7.1875,6.120058536529541,768000
1991-08-23,7.1875,7.1875,7.09375,7.1875,6.120058536529541,808000
1991-08-26,7.25,7.3125,7.21875,7.3125,6.226492404937744,515200
1991-08-27,7.34375,7.625,7.34375,7.59375,6.465975284576416,536400
1991-08-28,7.65625,8.25,7.65625,8.125,6.91832447052002,1007600
1991-08-29,8.1875,8.40625,8.09375,8.375,7.131196975708008,1117200
1991-08-30,8.375,8.4375,8.21875,8.4375,7.184416770935059,478000
1991-09-03,8.46875,8.46875,8.1875,8.3125,7.0779805183410645,195600
1991-09-04,8.21875,8.21875,7.90625,7.90625,6.732062339782715,310400
1991-09-05,7.84375,7.875,7.75,7.84375,6.678845405578613,463200
1991-09-06,7.875,8.1875,7.875,8.125,6.91832447052002,570800
1991-09-09,8.125,8.3125,8.125,8.1875,6.97154426574707,689200
1991-09-10,8.21875,8.25,8.0625,8.09375,6.891716957092285,446000
1991-09-11,8.09375,8.15625,8.03125,8.03125,6.838498115539551,119200
1991-09-12,8.1875,8.28125,8.15625,8.25,7.024762153625488,260800
1991-09-13,8.3125,8.5,8.3125,8.40625,7.157806396484375,552000
1991-09-16,8.34375,9.0,8.34375,8.875,7.556941509246826,801200
1991-09-17,8.8125,9.0625,8.75,9.0625,7.716593265533447,836800
1991-09-18,9.0,9.0625,9.0,9.03125,7.689985752105713,486000
1991-09-19,9.0,9.4375,8.9375,9.3125,7.929468154907227,525200
1991-09-20,9.375,9.375,9.25,9.25,7.876246929168701,316000
