Date,open,high,low,close,adj close,volume
1992-11-19,15.0,15.0,15.0,15.0,3.748371601104736,22800
1992-11-20,15.125,15.125,15.0,15.0,3.748371601104736,4100
1992-11-23,15.125,15.125,15.0,15.0,3.748371601104736,6500
1992-11-24,15.125,15.125,15.0,15.0,3.748371601104736,2900
1992-11-25,15.0,15.0,15.0,15.0,3.748371601104736,0
1992-11-27,15.0,15.0,15.0,15.0,3.748371601104736,0
1992-11-30,15.0,15.125,15.0,15.0,3.748371601104736,2100
1992-12-01,15.125,15.125,15.0,15.0,3.748371601104736,21200
1992-12-02,15.0,15.0,15.0,15.0,3.748371601104736,500
1992-12-03,15.0,15.0,15.0,15.0,3.748371601104736,0
1992-12-04,15.125,15.125,15.0,15.0,3.748371601104736,10900
1992-12-07,15.125,15.125,15.0,15.125,3.779607534408569,8100
1992-12-08,15.0,15.125,15.0,15.0,3.748371601104736,4700
1992-12-09,15.125,15.125,15.0,15.0,3.748371601104736,7400
1992-12-10,15.125,15.125,15.0,15.0,3.748371601104736,4300
1992-12-11,15.0,15.0,15.0,15.0,3.748371601104736,100
1992-12-14,15.125,15.125,15.125,15.125,3.779607534408569,7900
1992-12-15,15.0,15.125,15.0,15.0,3.748371601104736,4700
1992-12-16,15.0,15.0,15.0,15.0,3.748371601104736,4500
1992-12-17,15.125,15.375,15.125,15.25,3.8108434677124015,4600
1992-12-18,15.125,15.125,15.125,15.125,3.779607534408569,2000
1992-12-21,15.125,15.5,15.125,15.375,3.8420817852020255,9500
1992-12-22,15.5,15.5,15.125,15.125,3.779607534408569,4600
1992-12-23,15.25,15.375,15.25,15.375,3.8420817852020255,1500
1992-12-24,15.125,15.5,15.125,15.5,3.873314142227173,9400
1992-12-28,15.375,15.375,15.125,15.125,3.779607534408569,4700
1992-12-29,15.25,15.25,15.25,15.25,3.8108434677124015,1900
1992-12-30,15.25,15.375,15.25,15.375,3.8420817852020255,7100
1992-12-31,15.375,15.375,15.25,15.25,3.8108434677124015,3100
1993-01-04,15.25,15.25,15.125,15.125,3.779607534408569,6700
1993-01-05,15.125,15.125,15.125,15.125,3.779607534408569,0
1993-01-06,15.125,15.5,15.125,15.375,3.8420817852020255,8400
1993-01-07,15.375,15.375,15.25,15.375,3.8420817852020255,3500
1993-01-08,15.375,15.375,15.375,15.375,3.8420817852020255,4100
1993-01-11,15.375,15.375,15.375,15.375,3.8420817852020255,1000
1993-01-12,15.375,15.5,15.375,15.5,3.873314142227173,20200
1993-01-13,15.25,15.5,15.25,15.5,3.873314142227173,2500
1993-01-14,15.5,15.5,15.25,15.25,3.8108434677124015,6500
1993-01-15,15.25,15.25,15.125,15.125,3.779607534408569,6700
1993-01-18,15.125,15.125,15.0,15.0,3.748371601104736,3200
1993-01-19,15.0,15.0,14.875,15.0,3.748371601104736,5000
1993-01-20,15.125,15.125,15.125,15.125,3.779607534408569,2100
1993-01-21,15.125,15.125,15.125,15.125,3.779607534408569,1500
1993-01-22,15.125,15.125,15.125,15.125,3.779607534408569,300
1993-01-25,15.125,15.25,15.125,15.25,3.8108434677124015,700
1993-01-26,15.25,15.25,15.0,15.0,3.748371601104736,5600
1993-01-27,15.125,15.125,15.125,15.125,3.779607534408569,1000
1993-01-28,15.125,15.125,15.125,15.125,3.779607534408569,15000
1993-01-29,15.125,15.125,15.125,15.125,3.779607534408569,1900
1993-02-01,15.125,15.125,15.125,15.125,3.779607534408569,100
1993-02-02,15.0,15.25,15.0,15.125,3.779607534408569,4700
1993-02-03,15.25,15.25,15.25,15.25,3.8108434677124015,400
1993-02-04,15.125,15.25,15.125,15.125,3.779607534408569,5400
1993-02-05,15.125,15.25,15.125,15.25,3.8108434677124015,3300
1993-02-08,15.125,15.125,15.0,15.0,3.765655755996704,8900
1993-02-09,15.125,15.125,15.125,15.125,3.797036409378052,2700
1993-02-10,15.0,15.0,14.875,15.0,3.765655755996704,6000
1993-02-11,15.0,15.0,14.875,14.875,3.734276294708252,5700
1993-02-12,15.0,15.125,15.0,15.0,3.765655755996704,6800
1993-02-16,15.0,15.125,15.0,15.125,3.797036409378052,19600
1993-02-17,15.0,15.125,14.875,14.875,3.734276294708252,10800
1993-02-18,15.0,15.125,15.0,15.125,3.797036409378052,9900
1993-02-19,15.25,15.25,15.125,15.125,3.797036409378052,4200
1993-02-22,15.125,15.5,15.125,15.5,3.891178131103516,4400
1993-02-23,15.375,15.5,15.375,15.5,3.891178131103516,11200
1993-02-24,15.5,15.5,15.25,15.25,3.828416585922241,2900
1993-02-25,15.125,15.375,15.125,15.375,3.859798192977905,4400
1993-02-26,15.5,15.5,15.25,15.375,3.859798192977905,6700
1993-03-01,15.5,15.5,15.5,15.5,3.891178131103516,4400
1993-03-02,15.5,15.5,15.5,15.5,3.891178131103516,3100
1993-03-03,15.375,15.375,15.125,15.25,3.828416585922241,5000
1993-03-04,15.125,15.25,15.125,15.25,3.828416585922241,5400
1993-03-05,15.5,15.5,15.5,15.5,3.891178131103516,600
1993-03-08,15.5,15.5,15.5,15.5,3.891178131103516,3900
1993-03-09,15.375,15.5,15.25,15.25,3.845784187316896,5600
1993-03-10,15.25,15.5,15.25,15.375,3.87730884552002,17700
1993-03-11,15.375,15.5,15.375,15.5,3.9088311195373535,13200
1993-03-12,15.5,16.0,15.5,16.0,4.034922122955322,39600
1993-03-15,15.75,15.75,15.5,15.75,3.9718756675720215,19300
1993-03-16,15.75,15.75,15.5,15.75,3.9718756675720215,7300
1993-03-17,15.5,15.5,15.375,15.5,3.9088311195373535,4600
1993-03-18,15.5,15.5,15.5,15.5,3.9088311195373535,2700
1993-03-19,15.5,15.5,15.5,15.5,3.9088311195373535,500
1993-03-22,15.5,15.5,15.375,15.375,3.87730884552002,8200
1993-03-23,15.375,15.375,15.375,15.375,3.87730884552002,0
1993-03-24,15.375,15.375,15.25,15.375,3.87730884552002,4800
1993-03-25,15.375,15.5,15.375,15.375,3.87730884552002,9200
1993-03-26,15.25,15.5,15.25,15.375,3.87730884552002,8600
1993-03-29,15.5,15.5,15.25,15.5,3.9088311195373535,2300
1993-03-30,15.5,15.75,15.5,15.75,3.9718756675720215,4500
1993-03-31,15.625,15.625,15.5,15.5,3.9088311195373535,2500
1993-04-01,15.25,15.375,15.25,15.375,3.87730884552002,5200
1993-04-02,15.375,15.375,15.25,15.25,3.845784187316896,4000
1993-04-05,15.5,15.5,15.5,15.5,3.9088311195373535,600
1993-04-06,15.375,15.375,15.25,15.25,3.845784187316896,4900
1993-04-07,15.375,15.375,15.25,15.25,3.845784187316896,5900
1993-04-08,15.25,15.25,15.125,15.125,3.831849813461304,900
1993-04-12,15.25,15.25,15.125,15.125,3.831849813461304,3000
1993-04-13,15.125,15.25,15.125,15.25,3.863518953323364,1700
1993-04-14,15.375,15.375,15.25,15.375,3.895188570022583,2400
1993-04-15,15.375,15.375,15.25,15.375,3.895188570022583,7500
1993-04-16,15.25,15.375,15.25,15.25,3.863518953323364,4400
1993-04-19,15.5,15.5,15.5,15.5,3.9268558025360094,1000
1993-04-20,15.375,15.5,15.375,15.5,3.9268558025360094,4000
1993-04-21,15.5,15.5,15.375,15.5,3.9268558025360094,5500
1993-04-22,15.375,15.75,15.375,15.75,3.9901914596557617,8700
1993-04-23,15.625,15.625,15.5,15.5,3.9268558025360094,5300
1993-04-26,15.625,15.625,15.5,15.625,3.958524703979492,3800
1993-04-27,15.5,15.5,15.375,15.375,3.895188570022583,8100
1993-04-28,15.375,15.375,15.375,15.375,3.895188570022583,2100
1993-04-29,15.375,15.5,15.375,15.375,3.895188570022583,5500
1993-04-30,15.5,15.5,15.5,15.5,3.9268558025360094,200
1993-05-03,15.5,15.5,15.375,15.375,3.895188570022583,2500
1993-05-04,15.375,15.625,15.375,15.5,3.9268558025360094,5300
1993-05-05,15.375,15.375,15.375,15.375,3.895188570022583,5600
1993-05-06,15.375,15.5,15.375,15.5,3.9268558025360094,700
1993-05-07,15.375,15.5,15.375,15.5,3.9268558025360094,3200
1993-05-10,15.5,15.5,15.5,15.5,3.944669961929321,6300
1993-05-11,15.375,15.5,15.375,15.5,3.944669961929321,22900
1993-05-12,15.5,15.5,15.5,15.5,3.944669961929321,3700
1993-05-13,15.5,15.5,15.375,15.375,3.912858247756958,21700
1993-05-14,15.375,15.5,15.375,15.375,3.912858247756958,9400
1993-05-17,15.5,15.5,15.375,15.375,3.912858247756958,7400
1993-05-18,15.375,15.5,15.375,15.5,3.944669961929321,4200
1993-05-19,15.5,15.5,15.5,15.5,3.944669961929321,3200
1993-05-20,15.5,15.5,15.5,15.5,3.944669961929321,2000
1993-05-21,15.625,15.625,15.5,15.5,3.944669961929321,6000
1993-05-24,15.5,15.5,15.5,15.5,3.944669961929321,400
1993-05-25,15.625,15.625,15.625,15.625,3.976482391357422,1700
1993-05-26,15.625,15.75,15.625,15.625,3.976482391357422,4300
1993-05-27,15.75,15.75,15.625,15.625,3.976482391357422,2400
1993-05-28,15.5,15.625,15.5,15.625,3.976482391357422,4500
1993-06-01,15.75,15.875,15.75,15.75,4.008294582366943,10600
1993-06-02,15.875,15.875,15.75,15.75,4.008294582366943,4400
1993-06-03,15.625,15.75,15.625,15.75,4.008294582366943,2500
1993-06-04,15.75,15.875,15.75,15.875,4.040102005004883,8300
1993-06-07,15.75,15.75,15.75,15.75,4.008294582366943,2300
1993-06-08,15.75,15.75,15.5,15.625,3.976482391357422,7000
1993-06-09,15.375,15.375,15.375,15.375,3.930465698242188,500
1993-06-10,15.375,15.375,15.25,15.25,3.898512840270996,2200
