Date,open,high,low,close,adj close,volume
2003-01-13,17.100000381469727,17.100000381469727,17.100000381469727,17.100000381469727,17.100000381469727,0
2003-03-27,17.0,17.0,17.0,17.0,17.0,0
2003-04-03,17.600000381469727,17.600000381469727,17.600000381469727,17.600000381469727,17.600000381469727,0
2003-05-02,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-05,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-06,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-07,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-08,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-09,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-12,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-13,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-14,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-15,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-16,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-19,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-20,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-21,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-22,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-23,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-27,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-28,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-29,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-05-30,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,18.89999961853028,0
2003-06-06,20.25,20.25,20.25,20.25,20.25,0
2003-06-09,20.25,20.25,20.25,20.25,20.25,0
2003-06-10,20.25,20.25,20.25,20.25,20.25,0
2003-06-11,20.25,20.25,20.25,20.25,20.25,0
2003-06-12,20.25,20.25,20.25,20.25,20.25,0
2003-06-13,20.25,20.25,20.25,20.25,20.25,0
2003-06-16,20.25,20.25,20.25,20.25,20.25,0
2003-06-17,20.25,20.25,20.25,20.25,20.25,0
