Date,open,high,low,close,adj close,volume
1980-03-17,0.0,29.25,28.25,28.25,5.438947677612305,900
1980-03-18,0.0,28.5,27.5,27.5,5.294552803039551,2100
1980-03-19,0.0,28.5,27.5,27.5,5.294552803039551,500
1980-03-20,0.0,29.25,28.25,28.25,5.438947677612305,5300
1980-03-21,0.0,29.75,28.75,28.75,5.53521203994751,2100
1980-03-24,0.0,32.5,31.5,31.5,6.064668655395508,3600
1980-03-25,0.0,32.25,31.25,31.25,6.016535758972168,7100
1980-03-26,0.0,32.75,31.75,31.75,6.112800121307373,2000
1980-03-27,0.0,31.0,30.0,30.0,5.775874614715576,4600
1980-03-28,0.0,32.5,31.5,31.5,6.064668655395508,3500
1980-03-31,0.0,32.0,31.0,31.0,5.968402862548828,1100
1980-04-01,0.0,32.25,31.25,31.25,6.016535758972168,2500
1980-04-02,0.0,33.0,32.0,32.0,6.160933017730713,2200
1980-04-03,0.0,33.5,32.5,32.5,6.257198333740234,1900
1980-04-07,0.0,33.5,32.5,32.5,6.257198333740234,1900
1980-04-08,0.0,34.25,33.25,33.25,6.401593208312988,1300
1980-04-09,0.0,37.25,36.25,36.25,6.979182720184326,3700
1980-04-10,0.0,36.75,35.75,35.75,6.882917404174805,3000
1980-04-11,0.0,36.5,35.5,35.5,6.834784507751465,2100
1980-04-14,0.0,36.25,35.25,35.25,6.786651611328125,300
1980-04-15,0.0,37.75,36.75,36.75,7.075446128845215,2400
1980-04-16,0.0,38.0,37.0,37.0,7.123579025268555,3300
1980-04-17,0.0,37.75,36.75,36.75,7.075446128845215,1000
1980-04-18,0.0,38.25,37.25,37.25,7.171710968017578,2900
1980-04-21,0.0,37.0,36.0,36.0,6.93104887008667,2600
1980-04-22,0.0,37.5,36.5,36.5,7.027313232421875,2300
1980-04-23,0.0,37.25,36.25,36.25,6.979182720184326,2000
1980-04-24,36.25,36.25,36.25,36.25,6.979182720184326,0
1980-04-25,0.0,36.75,35.75,35.75,6.882917404174805,600
1980-04-28,0.0,36.5,35.5,35.5,6.834784507751465,500
1980-04-29,0.0,36.5,35.5,35.5,6.834784507751465,500
1980-04-30,0.0,36.25,35.25,35.25,6.786651611328125,300
1980-05-01,0.0,35.75,34.75,34.75,6.69038724899292,1200
1980-05-02,0.0,35.0,34.0,34.0,6.545992374420166,800
1980-05-05,0.0,35.25,34.25,34.25,6.594123363494873,700
1980-05-06,0.0,35.0,34.0,34.0,6.545992374420166,1000
1980-05-07,0.0,35.0,34.0,34.0,6.545992374420166,100
1980-05-08,0.0,34.0,33.0,33.0,6.353460788726807,1000
1980-05-09,0.0,34.0,33.0,33.0,6.353460788726807,400
1980-05-12,0.0,37.0,35.0,35.0,6.738519668579102,1400
1980-05-13,0.0,41.0,39.0,39.0,7.508635520935059,4600
1980-05-14,0.0,42.0,40.0,40.0,7.701167106628418,2900
1980-05-15,0.0,41.5,39.5,39.5,7.604900360107422,1200
1980-05-16,0.0,41.0,39.0,39.0,7.508635520935059,2200
1980-05-19,0.0,41.0,39.0,39.0,7.508635520935059,2800
1980-05-20,0.0,40.0,38.0,38.0,7.316108226776123,600
1980-05-21,0.0,40.0,38.0,38.0,7.316108226776123,1000
1980-05-22,0.0,39.5,37.5,37.5,7.219844341278076,800
1980-05-23,0.0,39.0,37.0,37.0,7.123579025268555,900
1980-05-27,0.0,38.5,36.5,36.5,7.027313232421875,300
1980-05-28,0.0,39.0,37.0,37.0,7.123579025268555,1100
1980-05-29,0.0,38.5,36.5,36.5,7.027313232421875,0
1980-05-30,0.0,39.5,37.5,37.5,7.219844341278076,2600
